,index,data_level,public_or_independent,district_number,district_name,school_number,school_name,sub_population,fsa_skill_code,grade,number_expected_writers,number_writers,score,year_start,year_end
0,269306,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,ALL STUDENTS,Numeracy,4,24,24,387.5833,2017,2018
1,269307,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,FEMALE,Numeracy,4,10,10,417.8,2017,2018
2,269308,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,MALE,Numeracy,4,14,14,366.0,2017,2018
3,269309,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,NON ABORIGINAL,Numeracy,4,18,18,369.8889,2017,2018
4,269310,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,24,24,387.5833,2017,2018
5,269324,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,ALL STUDENTS,Numeracy,4,58,56,499.0893,2017,2018
6,269325,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,FEMALE,Numeracy,4,24,23,482.2174,2017,2018
7,269326,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,MALE,Numeracy,4,34,33,510.8485,2017,2018
8,269327,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,NON ABORIGINAL,Numeracy,4,50,48,495.625,2017,2018
9,269328,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,55,54,499.1852,2017,2018
10,269329,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,ALL STUDENTS,Numeracy,4,99,97,456.5876,2017,2018
11,269330,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,FEMALE,Numeracy,4,45,45,449.7778,2017,2018
12,269331,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,MALE,Numeracy,4,54,52,462.4808,2017,2018
13,269332,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,ABORIGINAL,Numeracy,4,13,12,421.0,2017,2018
14,269333,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,NON ABORIGINAL,Numeracy,4,86,85,461.6118,2017,2018
15,269334,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,99,97,456.5876,2017,2018
16,269335,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,ALL STUDENTS,Numeracy,4,66,64,465.3438,2017,2018
17,269336,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,FEMALE,Numeracy,4,31,31,457.5484,2017,2018
18,269337,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,MALE,Numeracy,4,35,33,472.6667,2017,2018
19,269338,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,ABORIGINAL,Numeracy,4,18,18,448.2222,2017,2018
20,269339,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,NON ABORIGINAL,Numeracy,4,48,46,472.0435,2017,2018
21,269340,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,63,61,461.5738,2017,2018
22,269380,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,ALL STUDENTS,Numeracy,4,49,44,408.6591,2017,2018
23,269381,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,FEMALE,Numeracy,4,22,20,398.95,2017,2018
24,269382,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,MALE,Numeracy,4,27,24,416.75,2017,2018
25,269383,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,ABORIGINAL,Numeracy,4,10,9,385.0,2017,2018
26,269384,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,NON ABORIGINAL,Numeracy,4,39,35,414.7429,2017,2018
27,269385,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,46,41,410.3902,2017,2018
28,269430,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,ALL STUDENTS,Numeracy,4,54,39,467.2564,2017,2018
29,269431,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,FEMALE,Numeracy,4,26,15,456.5333,2017,2018
30,269432,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,MALE,Numeracy,4,28,24,473.9583,2017,2018
